   76327.617655 lost 7156 events on cpu 5

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
            dockerd[2679/2411]    2411          1        1.406      1.406       1.406       1.406    0.00       0
            dockerd[2424/2411]    2411          1        0.467      0.467       0.467       0.467    0.00       0
             migration/60[377]       2         39        0.350      0.004       0.008       0.042   10.11       0
             ksoftirqd/60[378]       2          3        0.027      0.005       0.009       0.011   20.49       0
            migration/103[635]       2         39        0.330      0.003       0.008       0.041   12.76       0
            dockerd[2427/2411]    2411          1        0.392      0.392       0.392       0.392    0.00       0
             migration/18[124]       2         38        0.385      0.008       0.010       0.042    8.68       0
            dockerd[2428/2411]    2411          1        0.827      0.827       0.827       0.827    0.00       0
            dockerd[2429/2411]    2411          1        1.172      1.172       1.172       1.172    0.00       0
             migration/61[383]       2         39        0.288      0.002       0.007       0.041   13.40       0
                 rpcbind[2175]       1          5        0.160      0.030       0.032       0.034    2.28       0
            migration/104[641]       2         38        0.292      0.003       0.007       0.041   12.87       0
             migration/19[130]       2         38        0.401      0.008       0.010       0.042   10.38       0
              agent[4482/3163]    3163          1        0.228      0.228       0.228       0.228    0.00       0
              multipathd[1668]       1        155        2.459      0.002       0.015       0.048    3.45       0
    containerd-shim[4228/3143]    3143         44        4.522      0.007       0.102       0.541   24.30       0
             migration/62[389]       2         39        0.318      0.004       0.008       0.014    3.63       0
         systemd-timesyn[2182]       1          1        0.153      0.153       0.153       0.153    0.00       0
            migration/105[647]       2         38        0.297      0.003       0.007       0.040   16.38       0
            dockerd[2695/2411]    2411          1        1.418      1.418       1.418       1.418    0.00       0
             migration/20[136]       2         38        0.380      0.008       0.010       0.040    8.33       0
          kworker/3:2-eve[904]       2        279        8.016      0.004       0.028       0.181    3.97       0
            dockerd[2696/2411]    2411         46        3.243      0.015       0.070       0.307   11.21       0
          kworker/4:2-mm_[905]       2        211        3.434      0.006       0.016       0.068    4.66       0
          kworker/5:2-eve[906]       2        131        1.925      0.004       0.014       0.066    7.37       0
