# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'sched:sched_switch'
# Event count (approx.): 3693633
#
# Overhead  Command          Shared Object      Symbol        
# ........  ...............  .................  ..............
#
     0.00%  gdbus            [kernel.kallsyms]  [k] __schedule
     0.00%  ksoftirqd/30     [kernel.kallsyms]  [k] __schedule
     0.00%  ksoftirqd/92     [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/108:1H-  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/111:1H-  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/11:1H-k  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/62:1H-k  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/77:2-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/u229:1   [kernel.kallsyms]  [k] __schedule
     0.00%  networkd-dispat  [kernel.kallsyms]  [k] __schedule
     0.00%  systemd-udevd    [kernel.kallsyms]  [k] __schedule


# Samples: 1M of event 'sched:sched_stat_runtime'
# Event count (approx.): 366802329900
#
# Overhead  Command          Shared Object      Symbol         
# ........  ...............  .................  ...............
#
    30.64%  worker-1         [kernel.kallsyms]  [k] update_curr
    28.50%  worker-2         [kernel.kallsyms]  [k] update_curr
    22.67%  lcpan            [kernel.kallsyms]  [k] update_curr
    14.82%  main             [kernel.kallsyms]  [k] update_curr
     1.37%  kworker/u226:2-  [kernel.kallsyms]  [k] update_curr
     0.95%  kworker/u224:0-  [kernel.kallsyms]  [k] update_curr
     0.52%  perf             [kernel.kallsyms]  [k] update_curr
     0.15%  kworker/u226:1-  [kernel.kallsyms]  [k] update_curr
     0.07%  containerd       [kernel.kallsyms]  [k] update_curr
     0.05%  irqbalance       [kernel.kallsyms]  [k] update_curr
     0.05%  kworker/0:2-eve  [kernel.kallsyms]  [k] update_curr
     0.02%  dockerd          [kernel.kallsyms]  [k] update_curr
     0.02%  agent            [kernel.kallsyms]  [k] update_curr
     0.02%  gmond            [kernel.kallsyms]  [k] update_curr
     0.02%  pool-udisksd     [kernel.kallsyms]  [k] update_curr
     0.01%  :-1              [kernel.kallsyms]  [k] update_curr
     0.01%  rcu_sched        [kernel.kallsyms]  [k] update_curr
     0.01%  containerd-shim  [kernel.kallsyms]  [k] update_curr
     0.01%  kworker/u225:3-  [kernel.kallsyms]  [k] update_curr
