   76177.910062 lost 5538 events on cpu 58
   76177.916688 lost 1177 events on cpu 64

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
              agent[4247/3163]    3163         42        3.731      0.006       0.088       0.585   27.08       0
              gmond[3992/2318]    2318       1463       36.415      0.017       0.024       0.056    0.56       0
              agent[4248/3163]    3163          1        0.932      0.932       0.932       0.932    0.00       0
            migration/108[665]       2         38        0.223      0.002       0.005       0.041   17.11       0
              agent[4249/3163]    3163          1        0.665      0.665       0.665       0.665    0.00       0
             migration/23[154]       2         37        0.473      0.008       0.012       0.042   12.27       0
                  munged[3994]       1          2        0.113      0.055       0.056       0.058    2.20       0
              agent[4250/3163]    3163          1        0.692      0.692       0.692       0.692    0.00       0
             munged[3995/3994]    3994          2        0.427      0.208       0.213       0.218    2.28       0
              agent[4251/3163]    3163         42        9.619      0.011       0.229       5.386   57.19       0
             munged[3996/3994]    3994          1        0.127      0.127       0.127       0.127    0.00       0
              agent[4252/3163]    3163          3        1.561      0.027       0.520       0.977   52.81       0
             migration/66[413]       2         38        0.359      0.008       0.009       0.041    9.24       0
             munged[3997/3994]    3994          1        0.165      0.165       0.165       0.165    0.00       0
          kworker/25:2-mm[926]       2         81       10.122      0.017       0.124       0.160    2.85       0
              agent[4254/3163]    3163          1        1.231      1.231       1.231       1.231    0.00       0
       kworker/39:1H-k[158110]       2        242        9.620      0.006       0.039       0.153    3.22       0
            migration/109[671]       2         38        0.231      0.003       0.006       0.041   16.62       0
          kworker/26:2-mm[927]       2          8        0.155      0.012       0.019       0.049   22.45       0
                  sshd[897951]   897932        143       12.823      0.020       0.089       0.142    1.58       0
             migration/24[160]       2         37        0.348      0.006       0.009       0.041    9.44       0
            dockerd[4256/2411]    2411          2        1.630      0.060       0.815       1.569   92.55       0
                  bash[897952]   897951         14        2.008      0.063       0.143       0.829   40.44       0
                  sudo[930464]    7701          4        0.326      0.063       0.081       0.097    9.34       0
            dockerd[4257/2411]    2411         14        0.980      0.020       0.070       0.244   21.45       0
                  perf[930466]   930465       1425    12005.640      0.000       8.425     155.182    2.78       0
             migration/67[419]       2         38        0.355      0.006       0.009       0.041    9.24       0
            migration/110[677]       2         38        0.220      0.003       0.005       0.041   17.30       0
           systemd-udevd[1701]       1          1        0.166      0.166       0.166       0.166    0.00       0
             migration/25[166]       2         37        0.355      0.008       0.009       0.041    9.39       0
            ksoftirqd/110[678]       2          1        0.049      0.049       0.049       0.049    0.00       0
                  slurmd[4006]       1          1        0.127      0.127       0.127       0.127    0.00       0
           perf[930471/930466]   930466        146       19.461      0.100       0.133       0.797    5.34       0
             migration/68[425]       2         38        0.358      0.008       0.009       0.040    8.84       0
            migration/111[683]       2         37        0.238      0.002       0.006       0.010    6.18       0
             migration/26[172]       2         37        0.382      0.008       0.010       0.042   11.03       0
       kworker/u226:2-[909997]       2        104      555.896      0.011       5.345      37.136   17.35       0
             migration/69[431]       2         38        0.360      0.008       0.009       0.041    9.14       0
             migration/27[178]       2         37        0.356      0.008       0.009       0.042    9.43       0
          kworker/0:2+kac[690]       2        585      106.591      0.003       0.182       0.584    4.35       0
               khungtaskd[691]       2          1        0.244      0.244       0.244       0.244    0.00       0
             migration/70[437]       2         38        0.453      0.002       0.011       0.042   14.15       0
              agent[4277/3163]    3163          1        0.166      0.166       0.166       0.166    0.00       0
               kcompactd0[694]       2        287        4.302      0.007       0.014       0.040    2.83       0
              agent[4278/3163]    3163         34        7.878      0.009       0.231       3.151   46.18       0
               kcompactd1[695]       2        287        3.703      0.005       0.012       0.049    3.03       0
             migration/28[184]       2         38        0.246      0.003       0.006       0.042   15.78       0
               khugepaged[697]       2         41        1.455      0.004       0.035       0.127   16.11       0
             migration/71[443]       2         38        0.271      0.002       0.007       0.041   14.24       0
              agent[4541/3163]    3163          2        0.967      0.126       0.483       0.840   73.90       0
          kworker/57:2-mm[958]       2         12        0.201      0.005       0.016       0.064   31.22       0
             migration/29[191]       2         38        0.305      0.003       0.008       0.040   12.42       0
          kworker/58:2-mm[959]       2         22        0.410      0.006       0.018       0.046   14.44       0
             ksoftirqd/29[192]       2          1        0.012      0.012       0.012       0.012    0.00       0
          kworker/59:2-mm[960]       2          2        0.077      0.037       0.038       0.039    1.91       0
             migration/72[449]       2         38        0.332      0.008       0.008       0.018    2.92       0
             migration/30[197]       2         37        0.311      0.003       0.008       0.041   15.21       0
         kworker/111:1H-[1477]       2          2        0.158      0.057       0.079       0.100   27.01       0
             ksoftirqd/30[198]       2          1        0.014      0.014       0.014       0.014    0.00       0
             migration/73[455]       2         38        0.351      0.008       0.009       0.041    9.37       0
          kworker/67:2-ev[968]       2         84        1.130      0.010       0.013       0.015    1.50       0
              snapd[2505/2327]    2327         11        0.245      0.011       0.022       0.030   10.07       0
    containerd-shim[4297/3143]    3143         30        4.417      0.007       0.147       0.724   26.06       0
         containerd[4298/2345]    2345          2        1.132      0.142       0.566       0.990   74.91       0
             migration/31[203]       2         37        0.353      0.003       0.009       0.041   17.60       0
          kworker/71:2-ev[972]       2         73        5.141      0.061       0.070       0.110    1.47       0
              snapd[2508/2327]    2327          1        0.964      0.964       0.964       0.964    0.00       0
             migration/74[461]       2         38        0.353      0.008       0.009       0.041    9.43       0
            dockerd[4303/2411]    2411          3        1.844      0.011       0.614       1.416   67.94       0
         kworker/66:0-mm[5839]       2          3        0.056      0.015       0.018       0.023   11.71       0
            dockerd[4304/2411]    2411        129        9.674      0.013       0.074       2.119   22.58       0
             migration/32[209]       2         37        0.277      0.003       0.007       0.041   13.79       0
              agent[4305/3163]    3163          1        1.146      1.146       1.146       1.146    0.00       0
         kworker/62:1-ev[6609]       2         81       10.218      0.008       0.126       0.167    3.00       0
         kworker/36:1H-k[2258]       2         10        0.288      0.013       0.028       0.055   18.07       0
              agent[4306/3163]    3163          1        0.332      0.332       0.332       0.332    0.00       0
             migration/75[467]       2         38        0.355      0.008       0.009       0.041    9.28       0
              agent[4307/3163]    3163          1        0.052      0.052       0.052       0.052    0.00       0
         kworker/63:0-ev[5331]       2        359       12.134      0.010       0.033       0.043    0.66       0
         containerd[4308/2345]    2345        309       15.540      0.019       0.050       1.297    8.40       0
             migration/33[215]       2         37        0.209      0.002       0.005       0.040   17.61       0
             migration/76[473]       2         38        0.359      0.008       0.009       0.041    9.16       0
         kworker/68:0-ev[5337]       2          1        0.013      0.013       0.013       0.013    0.00       0
                screen[936921]   897952         20        6.774      0.006       0.338       3.378   60.16       0
        kworker/u226:1[957657]       2         63        1.168      0.006       0.018       0.216   23.91       0
         systemd-network[2266]       1         19        3.414      0.040       0.179       0.421   16.95       0
         kworker/40:1H[957658]       2        401       12.681      0.007       0.031       0.099    2.44       0
         containerd[4571/2345]    2345          1        0.861      0.861       0.861       0.861    0.00       0
         systemd-resolve[2268]       1          1        0.134      0.134       0.134       0.134    0.00       0
             migration/34[221]       2         37        0.271      0.003       0.007       0.041   13.84       0
             migration/77[479]       2         38        0.421      0.008       0.011       0.031    9.90       0
         kworker/38:1H-k[2271]       2          2        0.070      0.029       0.035       0.041   16.13       0
             migration/35[227]       2         37        0.258      0.003       0.006       0.041   14.87       0
             migration/78[485]       2         38        0.430      0.007       0.011       0.041   12.51       0
         kworker/80:0-ev[4837]       2         73        5.773      0.073       0.079       0.100    0.77       0
            dockerd[4326/2411]    2411         15        1.249      0.011       0.083       0.650   48.95       0
         kworker/26:1H-k[2023]       2          1        0.096      0.096       0.096       0.096    0.00       0
             migration/36[233]       2         37        0.258      0.003       0.006       0.041   14.83       0
         containerd[4329/2345]    2345          1        0.761      0.761       0.761       0.761    0.00       0
            dockerd[4330/2411]    2411          3        1.485      0.041       0.495       1.133   66.36       0
             migration/79[491]       2         38        0.361      0.008       0.009       0.042    9.29       0
          kworker/56:1-mm[747]       2         83        2.610      0.004       0.031       0.078    7.94       0
            dockerd[4331/2411]    2411          4        1.602      0.015       0.400       0.806   54.86       0
         containerd[4332/2345]    2345          1        0.261      0.261       0.261       0.261    0.00       0
            dockerd[4333/2411]    2411          5        1.322      0.024       0.264       1.011   71.96       0
        kworker/10:1-mm[49133]       2          7        0.235      0.013       0.033       0.061   20.53       0
            dockerd[4334/2411]    2411          3        1.068      0.043       0.356       0.536   44.09       0
             migration/37[239]       2         37        0.273      0.002       0.007       0.040   18.15       0
             migration/80[497]       2         38        0.354      0.008       0.009       0.041    9.41       0
             ksoftirqd/80[498]       2          4        0.043      0.009       0.010       0.012    4.43       0
              snapd[2546/2327]    2327          1        1.665      1.665       1.665       1.665    0.00       0
       kworker/1:0-mm_[674034]       2         21        0.433      0.005       0.020       0.050   16.71       0
              snapd[2547/2327]    2327          1        0.870      0.870       0.870       0.870    0.00       0
             migration/38[245]       2         38        0.266      0.002       0.007       0.039   14.30       0
       kworker/78:0-mm[674037]       2          2        0.035      0.013       0.017       0.021   21.85       0
             migration/81[503]       2         38        0.359      0.008       0.009       0.041    9.25       0
